merchant,amount,category
Starbucks,5.50,Food & Dining
Whole Foods Market,85.32,Food & Dining
Safeway,42.18,Food & Dining
Trader Joe's,31.95,Food & Dining
McDonald's,8.75,Food & Dining
Chipotle Mexican Grill,12.45,Food & Dining
Panera Bread,9.80,Food & Dining
Dunkin Donuts,4.25,Food & Dining
Pizza Hut,22.50,Food & Dining
Subway,7.99,Food & Dining
Shell Gas Station,45.00,Transportation
Chevron,52.30,Transportation
Exxon Mobile,48.75,Transportation
BP Gas,41.20,Transportation
Uber,18.50,Transportation
Lyft,15.75,Transportation
Metro Transit,2.50,Transportation
Parking Meter,5.00,Transportation
Car Wash,12.00,Transportation
Jiffy Lube,89.99,Transportation
Amazon.com,67.43,Shopping
Target,124.56,Shopping
Walmart,98.21,Shopping
Best Buy,345.00,Shopping
Home Depot,156.78,Shopping
Costco Wholesale,187.45,Shopping
CVS Pharmacy,23.45,Shopping
Walgreens,18.90,Shopping
Apple Store,999.00,Shopping
IKEA,234.50,Shopping
Netflix,15.99,Entertainment
Spotify Premium,9.99,Entertainment
Hulu,12.99,Entertainment
Disney Plus,7.99,Entertainment
HBO Max,14.99,Entertainment
AMC Theatres,28.00,Entertainment
Regal Cinemas,24.50,Entertainment
PlayStation Store,59.99,Entertainment
Steam,29.99,Entertainment
Nintendo eShop,19.99,Entertainment
Verizon Wireless,85.00,Bills & Utilities
AT&T,95.50,Bills & Utilities
Comcast,120.00,Bills & Utilities
Electric Company,145.32,Bills & Utilities
Water Department,42.15,Bills & Utilities
Gas Company,78.90,Bills & Utilities
Internet Provider,79.99,Bills & Utilities
Trash Service,25.00,Bills & Utilities
HOA Fee,250.00,Bills & Utilities
Insurance Premium,185.00,Bills & Utilities
CVS Pharmacy Prescription,15.00,Healthcare
Walgreens Pharmacy,22.50,Healthcare
Doctor Visit Copay,35.00,Healthcare
Dentist,125.00,Healthcare
Vision Center,89.00,Healthcare
Physical Therapy,60.00,Healthcare
Lab Tests,145.00,Healthcare
Emergency Room,250.00,Healthcare
Urgent Care,75.00,Healthcare
Mental Health Services,100.00,Healthcare
Marriott Hotel,189.00,Travel
Hilton,156.00,Travel
Airbnb,245.00,Travel
United Airlines,387.50,Travel
Delta Airlines,425.00,Travel
Southwest Airlines,198.00,Travel
Hertz Rent A Car,234.00,Travel
Enterprise Rental,189.00,Travel
Travel Insurance,45.00,Travel
Booking.com,378.00,Travel
Paycheck Deposit,2500.00,Income
Direct Deposit Salary,3200.00,Income
Bonus Payment,1000.00,Income
Tax Refund,850.00,Income
Freelance Payment,450.00,Income
Interest Payment,12.50,Income
Dividend,75.00,Income
Gift,100.00,Income
Reimbursement,85.00,Income
Cash Back Reward,25.00,Income
ATM Withdrawal,100.00,Cash
ATM Fee,3.50,Cash
Cash Deposit,500.00,Cash
Money Order,50.00,Cash
Cashier's Check,25.00,Cash
Venmo Transfer,45.00,Transfer
Zelle Payment,125.00,Transfer
PayPal,67.50,Transfer
Cash App,30.00,Transfer
Wire Transfer,1500.00,Transfer
