merchant,amount,category
2 Place 5 to Place 0,30.0,Transportation
Idli medu Vada mix 2 plates,60.0,Food & Dining
1 month subscription,199.0,Bills & Utilities
Data booster pack,19.0,Bills & Utilities
Ganesh idol,251.0,Entertainment
2 Place 0 to Place 3,40.0,Transportation
Data booster pack,667.0,Bills & Utilities
Amul butter,55.0,Food & Dining
Chinese Bhel,30.0,Food & Dining
Shev Puri,40.0,Food & Dining
2 kachori,24.0,Food & Dining
2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Transportation
2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Transportation
1 month subscription,199.0,Bills & Utilities
Dahi,32.0,Food & Dining
8 kachori,96.0,Food & Dining
eyewear Glasses payment remaining,4300.0,Healthcare
Place 0 to Place 4 return,20.0,Transportation
eyewear Glasses advance,1000.0,Healthcare
2 Place 0 to Place A returns,40.0,Transportation
2 INOX,481.36,Entertainment
2 Bhajipav + 2 vadapav,60.0,Food & Dining
Ola cab - eye institute to Current Residence CHS,155.0,Transportation
7 kachori,84.0,Food & Dining
4 kachori,48.0,Food & Dining
Ola cab - eye institute to Current Residence CHS,188.0,Transportation
3.4 Lit Petrol,360.0,Transportation
Ola cab - eye institute to Current Residence CHS,185.0,Transportation
Hospital consultation,500.0,Healthcare
Ola cab - Current Residence CHS to eye institute,130.0,Transportation
To and Fro Cab Fare Contribution,675.0,Transportation
Place 4 to Place 0,10.0,Transportation
nan,196.0,Transportation
Park Inn Goa,100.0,Transportation
Place 0 to Place P,20.0,Transportation
Doctor Fees,100.0,Healthcare
2 PVR,461.0,Entertainment
2 Place 2 to Place 1 - Shree Sharma Travels,1890.0,Travel
Vadapav,15.0,Food & Dining
Bhaji + vadapav + kachori+ tea,70.0,Food & Dining
Vadala road to Nehru Planetarium,228.0,Transportation
2 Place 0 to Place P return,80.0,Transportation
Place 0 to Place 4 return,20.0,Transportation
Bhaji + vadapav,30.0,Food & Dining
Suppliemnts,211.75,Healthcare
2 Place 5 to Place 0,30.0,Transportation
2 Vadapav 2 samosa pav,60.0,Food & Dining
Annual recharge,2545.0,Bills & Utilities
Data booster pack,181.0,Bills & Utilities
Data booster pack,25.0,Bills & Utilities
Data booster pack,15.0,Bills & Utilities
Data booster pack,15.0,Bills & Utilities
2CC Place 2 to DDR Spl Train,1213.6,Transportation
Data booster pack,667.0,Bills & Utilities
Data booster pack,25.0,Bills & Utilities
Data booster pack,667.0,Bills & Utilities
2 All out refill,154.0,Healthcare
Data booster pack,15.0,Bills & Utilities
Data booster pack,301.0,Bills & Utilities
Data booster pack,301.0,Bills & Utilities
Potato chips,15.0,Food & Dining
2 Place 0 to Place 3,40.0,Transportation
4 kachori,48.0,Food & Dining
nan,199.0,Bills & Utilities
nan,515.0,Transportation
Bhaji + vadapav,40.0,Food & Dining
6 kachori,72.0,Food & Dining
Noodles packet,30.0,Food & Dining
pav Bhaji,70.0,Food & Dining
Place 0 to Place 4 return,20.0,Transportation
nan,199.0,Bills & Utilities
Pattice,20.0,Food & Dining
Place 0 to Sion returns,30.0,Transportation
1 Panipuri,25.0,Food & Dining
Popcorn family pack,25.0,Food & Dining
2 Frankie,160.0,Food & Dining
French crossiant,80.0,Food & Dining
Pickle,150.0,Food & Dining
Potato chips,150.0,Food & Dining
2 kachori,24.0,Food & Dining
Chicken lollypop 8 pcs,215.75,Food & Dining
Dabeli,15.0,Food & Dining
Papad packet,50.0,Food & Dining
1 Panipuri,30.0,Food & Dining
Place 0 to Place 4 return,20.0,Transportation
2 Place 3 to Place 2 : Sevagram express 3AC,1293.0,Transportation
All out refill,77.0,Healthcare
nan,540.0,Transportation
2 Vadapav,30.0,Food & Dining
2 kachori,24.0,Food & Dining
banana chips,45.0,Food & Dining
1 chicken shawarma,60.0,Food & Dining
Vadapav,15.0,Food & Dining
Place 0 to Place 3 returns,40.0,Transportation
Shev Puri,35.0,Food & Dining
2 PVR Place 6,312.0,Entertainment
Place 2 to Place 1 - Shree Sharma Travels,945.0,Travel
2 kachori,24.0,Food & Dining
Place 0 to Place 4 return,20.0,Transportation
Place 0 to Place 3 returns,40.0,Transportation
Place 0 to Santacruz return,40.0,Transportation
Vadapav,20.0,Food & Dining
Place 0 to Place 4 return,20.0,Transportation
nan,810.0,Transportation
3 pavwada,30.0,Food & Dining
Data booster pack,181.0,Bills & Utilities
Data booster pack,181.0,Bills & Utilities
Gupta bhel,25.0,Food & Dining
Vadapav,15.0,Food & Dining
Chicken Frankie,45.0,Food & Dining
Place 0 to WS return,10.0,Transportation
Place 0 to Place 4 return,20.0,Transportation
Double chicken shwarma,100.0,Food & Dining
Gupta bhel,25.0,Food & Dining
Amul butter,50.0,Food & Dining
Shev Puri,30.0,Food & Dining
Glasses remaining,800.0,Healthcare
Family's Glasses,22700.0,Healthcare
Glasses advance,1000.0,Healthcare
1 Place 0 to Place 6,5.0,Transportation
"Routine checkup - eye institute, Place 6",400.0,Healthcare
1 Place 0 to Place 6 return,10.0,Transportation
2 PVR Place 6,314.0,Entertainment
1 Panipuri,20.0,Food & Dining
2 Place 0 to Place 6 return,20.0,Transportation
2 PVR Place 6,436.0,Entertainment
nan,147.0,Transportation
Place 4 station to Place P return,30.0,Transportation
Place 0 to Place P return,40.0,Transportation
2 pavwada,20.0,Food & Dining
Mobile Service Provider freedom pack,296.0,Bills & Utilities
Mobile Service Provider freedom pack,296.0,Bills & Utilities
Mobile Service Provider freedom pack,296.0,Bills & Utilities
Mobile Service Provider freedom pack,296.0,Bills & Utilities
Dahi,10.0,Food & Dining
Gupta bhel,25.0,Food & Dining
2 Place 2 to Place 3 : Sevagram express 3AC,1333.0,Transportation
2 Place 3 to Place 2 : Amritsar express 3AC,1231.0,Transportation
Place 2 to Place 3 sevagram,658.6,Transportation
1 Year Plan (40mbps + UL+ 3 Months Free),5640.0,Bills & Utilities
Gupta bhel,25.0,Food & Dining
2 Place 1 to Place 2 - Novelty tour and travels,2388.0,Travel
Place 0 to WS return,10.0,Transportation
2,560.0,Entertainment
Vadapav,15.0,Food & Dining
Place 0 to dadar return,30.0,Transportation
Surgical gloves pair,20.0,Healthcare
Doctor Fees,150.0,Healthcare
2 Place 2 to Place 1 - Novelty tour and travels,1400.0,Travel
2 Place 1 to Place 2 - Novelty tour and travels,2598.0,Travel
Local pass to Family,100.0,Transportation
Idli 4 pcs + kachori 4 pcs,93.0,Food & Dining
2 Place 1 to Place 2 - Novelty tour and travels,1440.0,Travel
Sweet bread cake 90 + veg puff 2,140.0,Food & Dining
Ola cab - Domestic airport T1 to Current Residence,640.0,Transportation
2 chips packets,20.0,Food & Dining
Ola cab - Current Residence to Domestic airport T1,850.0,Transportation
Ola cab - siddhivinayak to BKC,361.0,Transportation
Dadar West to siddhivinayak,25.0,Transportation
2 Place 0 to dadar return,60.0,Transportation
2 Bhaji pav + 1 vadapav,45.0,Food & Dining
2 Place 2 to Place 1 - Shree Sharma Travels,1665.0,Travel
Medical tests - Family,6190.0,Healthcare
Family Mobile Service Provider recharge,2999.0,Bills & Utilities
Maggie 1 pck,14.0,Food & Dining
2 Neeta travels : Place A to pune,895.0,Travel
Chicken roll kasha,100.0,Food & Dining
Place 0 to Place 4 return,20.0,Transportation
Hospital consultation,3050.0,Healthcare
2 Place 0 to Place 6 return,20.0,Transportation
Garlic bread + periperi masala fries,248.0,Food & Dining
Puri packet of 50 pcs,50.0,Food & Dining
Annual recharge,2545.0,Bills & Utilities
5 litres can,70.0,Bills & Utilities
2 Place 0 to TB returns,40.0,Transportation
