merchant,amount,category
2 Place 5 to Place 0,30.0,Transportation
Idli medu Vada mix 2 plates,60.0,Food & Dining
1 month subscription,199.0,Bills & Utilities
Data booster pack,19.0,Bills & Utilities
Permanent Residence - Tata Play recharge,200.0,Bills & Utilities
Place 2 station to Permanent Residence,50.0,Transportation
2 Place 0 to Place 3,40.0,Transportation
1kg atta,46.0,Food & Dining
nan,5000.0,Shopping
nan,5000.0,Shopping
Data booster pack,667.0,Bills & Utilities
Home Food Delivery,650.0,Food & Dining
Half lit  milk,36.0,Food & Dining
Half lit  milk,36.0,Food & Dining
Half lit  milk,37.0,Food & Dining
Amul butter,55.0,Food & Dining
11 clothes ironing,77.0,Shopping
Chinese Bhel,30.0,Food & Dining
Shev Puri,40.0,Food & Dining
2 kachori,24.0,Food & Dining
Half lit  milk,36.0,Food & Dining
Bread,18.0,Food & Dining
farewell contribution,118.0,Shopping
Domino's Pizza,510.85,Food & Dining
From workplace,70255.0,Income
Half lit  milk,36.0,Food & Dining
Warna Srikhand pav kg,78.0,Food & Dining
Supermart,343.0,Shopping
Baking soda,27.0,Food & Dining
chocobar,15.0,Food & Dining
Half lit  milk,36.0,Food & Dining
Dahi 2 packets,20.0,Food & Dining
2 plates poha,60.0,Food & Dining
Khari packet,45.0,Food & Dining
Half lit  milk,36.0,Food & Dining
interest paid,30.0,Income
13 clothes ironing,91.0,Shopping
Home Food Delivery,1120.0,Food & Dining
nan,20.0,Food & Dining
Half lit  milk,36.0,Food & Dining
2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Transportation
2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Transportation
Catering Service,60.0,Food & Dining
Half lit  milk,37.0,Food & Dining
nan,11043.0,Healthcare
cutting chai,12.0,Food & Dining
Half lit  milk,36.0,Food & Dining
1 month subscription,199.0,Bills & Utilities
Dahi 2 packets,20.0,Food & Dining
Half lit  milk,36.0,Food & Dining
Permanent Residence - Tata Play recharge,157.0,Bills & Utilities
Warna Srikhand half kg,290.0,Food & Dining
M D sure 4kg atta,216.0,Food & Dining
Dahi,32.0,Food & Dining
Toothpaste Patanjali,160.0,Shopping
8 clothes ironing,56.0,Shopping
Vanila family pack,115.0,Food & Dining
5 litres can Distilled water,100.0,Shopping
Brass Puja plate and diva,220.0,Shopping
Half kg Lahsoon,45.0,Food & Dining
Supermart,594.0,Shopping
Vanila cup,10.0,Food & Dining
chocobar,20.0,Food & Dining
nan,5000.0,Shopping
nan,5000.0,Shopping
8 kachori,96.0,Food & Dining
hair cut,100.0,Shopping
cutting chai,10.0,Food & Dining
eyewear Glasses payment remaining,4300.0,Healthcare
For Family,3410.0,Shopping
Place 0 to Place 4 return,20.0,Transportation
Current Residence to Place 0,15.0,Transportation
Supermart,18.0,Shopping
M D sure 4kg atta,216.0,Food & Dining
eyewear Glasses advance,1000.0,Healthcare
13 clothes ironing,91.0,Shopping
nan,30000.0,Income
10 melody,10.0,Food & Dining
From workplace,70255.0,Income
Glucose D(50) + flora bc (40)+cyra 20(10),100.0,Healthcare
nan,132.0,Healthcare
Catering Service,212.0,Food & Dining
1 plates poha,25.0,Food & Dining
Paneer pizza,260.0,Food & Dining
Decathlon Place A to Place A station,50.0,Transportation
Current Residence to Place 0,15.0,Transportation
2 Place 0 to Place A returns,40.0,Transportation
Medu vada 3 plate,105.0,Food & Dining
2 INOX,481.36,Entertainment
nan,195.0,Food & Dining
Supermart,3750.0,Shopping
Toast packet,40.0,Food & Dining
nan,6780.0,Income
Current Residence - Tata Play recharge,154.0,Bills & Utilities
4 plates poha,100.0,Food & Dining
Supermart,368.0,Shopping
Khajur pav kg,30.0,Food & Dining
2 Bhajipav + 2 vadapav,60.0,Food & Dining
Toast packet,45.0,Food & Dining
chocobar,20.0,Food & Dining
potato 1kg,25.0,Food & Dining
onion 1 kg,25.0,Food & Dining
Ola cab - eye institute to Current Residence CHS,155.0,Transportation
Cataract Medicine,87.0,Healthcare
Cataract Medicine,1048.0,Healthcare
Dahi 4 packets,40.0,Food & Dining
M D sure 4kg atta,216.0,Food & Dining
12 clothes ironing,84.0,Shopping
Sony WI-C100 earphones wireless,1190.0,Shopping
7 kachori,84.0,Food & Dining
nan,30.0,Food & Dining
nan,500.0,Food & Dining
4 kachori,48.0,Food & Dining
Ola cab - eye institute to Current Residence CHS,188.0,Transportation
Cataract Medicine,1358.0,Healthcare
nan,5000.0,Shopping
nan,5000.0,Shopping
6 eggs,35.0,Food & Dining
2 bread packets,57.0,Food & Dining
3.4 Lit Petrol,360.0,Transportation
Toast packet,20.0,Food & Dining
Shev bhaji sev pav kg,60.0,Food & Dining
Ola cab - eye institute to Current Residence CHS,185.0,Transportation
3 cutting chai,30.0,Food & Dining
eye drop,153.0,Healthcare
Hospital consultation,500.0,Healthcare
Ola cab - Current Residence CHS to eye institute,130.0,Transportation
To and Fro Cab Fare Contribution,675.0,Transportation
Place 4 to Place 0,10.0,Transportation
At restaurant,2.0,Food & Dining
nan,196.0,Bills & Utilities
At restaurant,760.0,Food & Dining
Park Inn Goa,100.0,Transportation
Terminal 1 to Terminal 2,83.0,Transportation
cutting chai,7.0,Food & Dining
Current Residence to Place 0,15.0,Transportation
Place 0 to Place P,20.0,Transportation
Doctor Fees,100.0,Healthcare
Shaving,50.0,Shopping
2 Thyroid (1000) + cholesterol (220) + uric acid (220),1440.0,Healthcare
Half lit  milk,36.0,Food & Dining
Current Residence - Tata Play recharge,154.0,Bills & Utilities
Supermart,1595.0,Shopping
Place 1 bridge to Current Residence 2 seats,50.0,Transportation
2 Place 6 Stand to MS,20.0,Transportation
Face towels + shampoo,626.0,Shopping
2 Place 1 to  mall,26.0,Transportation
Current Residence to Place 1 bus stop highway,40.0,Transportation
2 PVR,461.0,Entertainment
2 Place 2 to Place 1 - Shree Sharma Travels,1890.0,Transportation
Vadapav,15.0,Food & Dining
undergarments pair of Jockey,430.0,Shopping
clothes ironing,98.0,Shopping
milk 1lit,72.0,Food & Dining
nan,10000.0,Income
Aqugurad PRV,1200.0,Shopping
interest paid,342.0,Income
From workplace,65122.0,Income
Tulsi plant+ pot,70.0,Shopping
Math tap repair,50.0,Shopping
3 bulbs 3 pencil cells,270.0,Shopping
Home Food Delivery,455.0,Food & Dining
Bhaji + vadapav + kachori+ tea,70.0,Food & Dining
Vadala road to Nehru Planetarium,228.0,Transportation
Mast & Harbour Slides,64.82,Shopping
Planetarium,308.85,Travel
2 cups,14.0,Food & Dining
Mobile cover real mi note pro,100.0,Shopping
Mouse pad,100.0,Shopping
Purse,450.0,Shopping
Rainy season chappal,550.0,Shopping
Place P station to Alfa market,25.0,Transportation
2 Place 0 to Place P return,80.0,Transportation
2 Current Residence to Place 0,30.0,Transportation
2 Place 0 to Current Residence,30.0,Transportation
Supermart,1990.0,Shopping
Aqugurad water purifier,13050.0,Shopping
Umbrella handle repair,70.0,Shopping
Place 0 to Place 4 return,20.0,Transportation
2 cutting chai,20.0,Food & Dining
Bhaji + vadapav,30.0,Food & Dining
Home Food Delivery,320.0,Food & Dining
Smart point,2074.0,Shopping
2 Place 0 to Current Residence,40.0,Transportation
Bread,18.0,Food & Dining
milk 1lit,72.0,Food & Dining
Suppliemnts,211.75,Healthcare
2 Place 5 to Place 0,30.0,Transportation
Permanent Residence - Tata Play recharge,157.0,Bills & Utilities
2 Vadapav 2 samosa pav,60.0,Food & Dining
Annual recharge,2545.0,Bills & Utilities
nan,30.0,Transportation
Data booster pack,181.0,Bills & Utilities
Data booster pack,25.0,Bills & Utilities
